date,temp_max,temp_min,temp_mean,apparent_temp_max,apparent_temp_min,precipitation,rain,snowfall,wind_max,wind_mean,weather_code,is_forecast,ideal_temp,temp_score,rain_score,wind_score,sunshine_percentage,snow_bonus,nice_day_score,nice_day_label,heavy_rain,sunny_day,outdoor_score,comfort_score_v2,rain_score_v2,wind_score_v2,hazard_factor,nice_day_score_v2,nice_day_label_v2,outdoor_score_v2
01-01-20,-0.6,-4.8,-2.4,-5.9,-9.1,0.6,0.0,0.42,22.4,14.2,71,False,0,88.0,97.6,75.2,7.969704132999745,0,58.6,Average,False,False,56.1,0.0,100.0,100.0,1.0,41.6,Average,3.2
02-01-20,-1.4,-8.6,-4.9,-5.2,-13.0,0.0,0.0,0.0,10.5,7.4,3,False,0,75.5,100.0,99.0,88.17565545004946,0,84.0,Nice,False,True,86.6,0.0,100.0,100.0,1.0,57.6,Average,35.3
03-01-20,2.2,-7.1,-2.1,-1.5,-11.3,0.0,0.0,0.0,6.4,3.6,2,False,0,89.5,100.0,100.0,97.88331850988101,0,93.1,Excellent,False,True,95.5,14.0,100.0,100.0,1.0,65.2,Pleasant,47.6
04-01-20,2.4,-4.0,-0.7,-1.7,-7.9,0.1,0.0,0.07,9.3,4.7,71,False,0,96.5,99.6,100.0,68.8978673775408,0,85.7,Nice,False,False,86.3,13.2,100.0,100.0,1.0,59.1,Average,35.5
05-01-20,-1.0,-3.5,-2.2,-4.2,-8.6,4.3,0.0,3.01,18.2,12.9,73,False,0,89.0,82.8,83.6,24.46078346477148,10,63.5,Pleasant,False,False,61.7,3.2,100.0,100.0,1.0,46.2,Average,11.7
06-01-20,-2.4,-5.9,-3.8,-6.9,-9.7,1.3,0.0,0.91,19.1,10.5,71,False,0,81.0,94.8,81.8,6.649914637541008,0,55.5,Average,False,False,53.4,0.0,100.0,100.0,1.0,41.3,Average,2.7
07-01-20,-1.8,-10.0,-6.2,-5.9,-14.6,0.0,0.0,0.0,8.8,4.3,3,False,0,69.0,100.0,100.0,95.6800670001,0,84.1,Nice,False,True,87.4,0.0,100.0,100.0,1.0,59.1,Average,38.3
08-01-20,-0.7,-8.9,-5.1,-4.2,-12.3,0.0,0.0,0.0,6.1,2.2,3,False,0,74.5,100.0,100.0,97.93126973064861,0,87.1,Nice,False,True,90.2,3.2,100.0,100.0,1.0,60.9,Pleasant,41.1
09-01-20,-0.3,-8.5,-4.5,-3.8,-12.6,0.1,0.0,0.07,5.5,3.1,71,False,0,77.5,99.6,100.0,74.76723092980707,0,80.1,Nice,False,True,82.0,4.8,100.0,100.0,1.0,56.9,Average,32.8
10-01-20,6.1,-5.1,0.6,3.2,-8.4,0.0,0.0,0.0,5.3,2.8,3,False,0,97.0,100.0,100.0,97.95255808948548,0,96.1,Excellent,False,True,98.1,32.8,100.0,100.0,1.0,72.7,Pleasant,58.9
11-01-20,3.6,-2.7,0.3,0.3,-6.2,0.0,0.0,0.0,8.1,5.5,3,False,0,98.5,100.0,100.0,90.65730831363258,0,94.1,Excellent,False,True,95.7,21.2,100.0,100.0,1.0,66.6,Pleasant,49.0
12-01-20,3.5,-3.4,0.0,0.8,-7.1,0.0,0.0,0.0,6.3,3.9,3,False,0,100.0,100.0,100.0,76.39690246180876,0,89.7,Nice,False,True,90.6,23.2,100.0,100.0,1.0,64.6,Pleasant,44.5
13-01-20,2.0,-4.4,-1.7,-1.0,-8.2,0.0,0.0,0.0,6.1,3.7,3,False,0,91.5,100.0,100.0,97.9860263952718,0,93.9,Excellent,False,True,96.2,16.0,100.0,100.0,1.0,66.0,Pleasant,48.8
14-01-20,2.9,-4.9,-1.7,-0.5,-8.4,0.0,0.0,0.0,5.9,2.3,3,False,0,91.5,100.0,100.0,97.99809022884983,0,93.9,Excellent,False,True,96.2,18.0,100.0,100.0,1.0,66.8,Pleasant,50.0
15-01-20,2.7,-6.6,-1.1,-0.4,-10.7,0.0,0.0,0.0,7.0,2.7,0,False,0,94.5,100.0,100.0,98.01105825388154,0,95.1,Excellent,False,True,97.3,18.4,100.0,100.0,1.0,67.0,Pleasant,50.2
16-01-20,5.2,-5.0,-0.3,1.5,-8.8,0.0,0.0,0.0,7.7,2.8,0,False,0,98.5,100.0,100.0,97.93284296604229,0,96.7,Excellent,False,True,98.6,26.0,100.0,100.0,1.0,70.0,Pleasant,54.8
17-01-20,2.4,-4.7,-1.6,-1.0,-8.6,0.0,0.0,0.0,7.6,4.2,2,False,0,92.0,100.0,100.0,97.83015656132801,0,94.0,Excellent,False,True,96.3,16.0,100.0,100.0,1.0,66.0,Pleasant,48.7
18-01-20,10.2,-5.8,0.0,6.1,-10.2,0.0,0.0,0.0,10.3,5.1,0,False,0,100.0,100.0,99.4,97.72055934694353,0,97.2,Excellent,False,True,99.0,44.4,100.0,100.0,1.0,77.3,Nice,65.7
19-01-20,0.3,-7.0,-4.3,-3.6,-10.8,0.0,0.0,0.0,9.0,4.0,3,False,0,78.5,100.0,100.0,97.60442165827287,0,88.6,Nice,False,True,91.5,5.6,100.0,100.0,1.0,61.8,Pleasant,42.4
20-01-20,-1.5,-7.4,-4.6,-5.3,-11.4,0.0,0.0,0.0,7.9,5.7,3,False,0,77.0,100.0,100.0,78.29284231822068,0,81.2,Nice,False,True,83.3,0.0,100.0,100.0,1.0,55.7,Average,31.3
21-01-20,-1.5,-6.0,-4.6,-5.3,-9.5,0.0,0.0,0.0,9.2,5.3,3,False,0,77.0,100.0,100.0,48.4547199374695,0,70.8,Pleasant,False,False,71.3,0.0,100.0,100.0,1.0,49.7,Average,19.4
22-01-20,1.8,-5.9,-3.5,-2.2,-9.9,0.0,0.0,0.0,10.4,5.1,3,False,0,82.5,100.0,99.2,96.71826566238877,0,89.8,Nice,False,True,92.5,11.2,100.0,100.0,1.0,63.8,Pleasant,45.4
