Start Date,End Date,Event Name,Event Type,Impact Category,Positive or Negative,Importance (1-100),Description
2010-01-01,2010-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,75,
2010-02-15,2010-02-20,Carnival Celebrations,Cultural Celebration,,,45,
2010-04-19,2010-04-19,Junii Brașovului Parade,Traditional Festival,,,90,
2010-04-25,2010-04-25,Brașov Marathon,Sports Event,,,60,
2010-07-20,2010-07-25,Rockstadt Extreme Fest,Music Festival,,,75,
2010-08-10,2010-08-17,Brașov Jazz & Blues Festival,Music Festival,,,70,
2010-10-01,2010-10-03,International Book Fair,Cultural Event,,,58,
2010-10-25,2010-11-02,Dracula Film Festival,Film Festival,,,72,
2011-01-01,2011-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,76,
2011-02-14,2011-02-19,Carnival Celebrations,Cultural Celebration,,,46,
2011-04-24,2011-04-24,Junii Brașovului Parade,Traditional Festival,,,91,
2011-04-23,2011-04-23,Brașov Marathon,Sports Event,,,61,
2011-07-18,2011-07-23,Rockstadt Extreme Fest,Music Festival,,,76,
2011-08-12,2011-08-19,Brașov Jazz & Blues Festival,Music Festival,,,71,
2011-10-02,2011-10-04,International Book Fair,Cultural Event,,,59,
2011-10-24,2011-11-01,Dracula Film Festival,Film Festival,,,73,
2012-01-01,2012-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,77,
2012-02-13,2012-02-18,Carnival Celebrations,Cultural Celebration,,,47,
2012-04-15,2012-04-15,Junii Brașovului Parade,Traditional Festival,,,92,
2012-04-22,2012-04-22,Brașov Marathon,Sports Event,,,62,
2012-07-16,2012-07-21,Rockstadt Extreme Fest,Music Festival,,,78,
2012-08-11,2012-08-18,Brașov Jazz & Blues Festival,Music Festival,,,73,
2012-10-06,2012-10-08,International Book Fair,Cultural Event,,,60,
2012-10-23,2012-10-31,Dracula Film Festival,Film Festival,,,74,
2013-01-01,2013-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,78,
2013-02-12,2013-02-17,Carnival Celebrations,Cultural Celebration,,,48,
2013-04-21,2013-04-21,Junii Brașovului Parade,Traditional Festival,,,93,
2013-04-21,2013-04-21,Brașov Marathon,Sports Event,,,63,
2013-07-22,2013-07-27,Rockstadt Extreme Fest,Music Festival,,,80,
2013-08-16,2013-08-23,Brașov Jazz & Blues Festival,Music Festival,,,75,
2013-10-05,2013-10-07,International Book Fair,Cultural Event,,,61,
2013-10-22,2013-10-30,Dracula Film Festival,Film Festival,,,75,
2014-01-01,2014-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,79,
2014-02-11,2014-02-16,Carnival Celebrations,Cultural Celebration,,,49,
2014-04-20,2014-04-20,Junii Brașovului Parade,Traditional Festival,,,94,
2014-04-20,2014-04-20,Brașov Marathon,Sports Event,,,64,
2014-07-21,2014-07-26,Rockstadt Extreme Fest,Music Festival,,,82,
2014-08-15,2014-08-22,Brașov Jazz & Blues Festival,Music Festival,,,77,
2014-10-04,2014-10-06,International Book Fair,Cultural Event,,,62,
2014-10-21,2014-10-29,Dracula Film Festival,Film Festival,,,76,
2015-01-01,2015-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,80,
2015-02-10,2015-02-15,Carnival Celebrations,Cultural Celebration,,,50,
2015-04-26,2015-04-26,Junii Brașovului Parade,Traditional Festival,,,95,
2015-04-26,2015-04-26,Brașov Marathon,Sports Event,,,65,
2015-07-20,2015-07-25,Rockstadt Extreme Fest,Music Festival,,,84,
2015-08-14,2015-08-21,Brașov Jazz & Blues Festival,Music Festival,,,79,
