Start Date,End Date,Event Name,Event Type,Impact Category,Positive or Negative,Importance (1-100),Description
2010-01-01,2010-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,85,
2010-02-14,2010-02-15,Sibiu Wine Festival,Food & Wine Festival,,,65,
2010-04-08,2010-04-09,Sibiu Country Market (Dumbrava),Community Event,,,55,
2010-06-15,2010-06-28,Sibiu International Theatre Festival,Theatre Festival,,,95,
2010-08-10,2010-08-13,ARTmania Festival,Music & Arts Festival,,,80,
2010-08-21,2010-08-22,Medieval Fortress Festival,Historical Festival,,,75,
2010-10-18,2010-10-25,Astra Film Festival,Documentary Film Festival,,,82,
2011-01-01,2011-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,86,
2011-02-13,2011-02-14,Sibiu Wine Festival,Food & Wine Festival,,,66,
2011-04-07,2011-04-08,Sibiu Country Market (Dumbrava),Community Event,,,56,
2011-06-16,2011-06-29,Sibiu International Theatre Festival,Theatre Festival,,,96,
2011-08-12,2011-08-15,ARTmania Festival,Music & Arts Festival,,,81,
2011-08-20,2011-08-21,Medieval Fortress Festival,Historical Festival,,,76,
2011-10-17,2011-10-24,Astra Film Festival,Documentary Film Festival,,,83,
2012-01-01,2012-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,87,
2012-02-12,2012-02-13,Sibiu Wine Festival,Food & Wine Festival,,,67,
2012-04-08,2012-04-09,Sibiu Country Market (Dumbrava),Community Event,,,57,
2012-06-14,2012-06-27,Sibiu International Theatre Festival,Theatre Festival,,,97,
2012-08-11,2012-08-14,ARTmania Festival,Music & Arts Festival,,,82,
2012-08-19,2012-08-20,Medieval Fortress Festival,Historical Festival,,,77,
2012-10-16,2012-10-23,Astra Film Festival,Documentary Film Festival,,,84,
2013-01-01,2013-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,88,
2013-02-11,2013-02-12,Sibiu Wine Festival,Food & Wine Festival,,,68,
2013-04-14,2013-04-15,Sibiu Country Market (Dumbrava),Community Event,,,58,
2013-06-20,2013-07-03,Sibiu International Theatre Festival,Theatre Festival,,,98,
2013-08-09,2013-08-12,ARTmania Festival,Music & Arts Festival,,,83,
2013-08-24,2013-08-25,Medieval Fortress Festival,Historical Festival,,,78,
2013-10-15,2013-10-22,Astra Film Festival,Documentary Film Festival,,,85,
2014-01-01,2014-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,89,
2014-02-15,2014-02-16,Sibiu Wine Festival,Food & Wine Festival,,,69,
2014-04-12,2014-04-13,Sibiu Country Market (Dumbrava),Community Event,,,59,
2014-06-19,2014-07-02,Sibiu International Theatre Festival,Theatre Festival,,,99,
2014-08-08,2014-08-11,ARTmania Festival,Music & Arts Festival,,,84,
2014-08-23,2014-08-24,Medieval Fortress Festival,Historical Festival,,,79,
2014-10-21,2014-10-28,Astra Film Festival,Documentary Film Festival,,,86,
2015-01-01,2015-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,90,
2015-02-14,2015-02-15,Sibiu Wine Festival,Food & Wine Festival,,,70,
2015-04-19,2015-04-20,Sibiu Country Market (Dumbrava),Community Event,,,60,
2015-06-18,2015-07-01,Sibiu International Theatre Festival,Theatre Festival,,,100,
2015-08-14,2015-08-17,ARTmania Festival,Music & Arts Festival,,,85,
2015-08-22,2015-08-23,Medieval Fortress Festival,Historical Festival,,,80,
2015-10-20,2015-10-27,Astra Film Festival,Documentary Film Festival,,,87,
2016-01-01,2016-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,91,
2016-02-13,2016-02-14,Sibiu Wine Festival,Food & Wine Festival,,,71,
2016-04-10,2016-04-11,Sibiu Country Market (Dumbrava),Community Event,,,61,
2016-06-16,2016-06-29,Sibiu International Theatre Festival,Theatre Festival,,,99,
2016-08-12,2016-08-15,ARTmania Festival,Music & Arts Festival,,,86,
2016-08-20,2016-08-21,Medieval Fortress Festival,Historical Festival,,,81,
2016-10-18,2016-10-25,Astra Film Festival,Documentary Film Festival,,,88,
2017-01-01,2017-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,92,
2017-02-12,2017-02-13,Sibiu Wine Festival,Food & Wine Festival,,,72,
2017-04-16,2017-04-17,Sibiu Country Market (Dumbrava),Community Event,,,62,
2017-06-22,2017-07-05,Sibiu International Theatre Festival,Theatre Festival,,,98,
2017-08-10,2017-08-13,ARTmania Festival,Music & Arts Festival,,,87,
2017-08-19,2017-08-20,Medieval Fortress Festival,Historical Festival,,,82,
2017-10-17,2017-10-24,Astra Film Festival,Documentary Film Festival,,,89,
