date,temp_max,temp_min,temp_mean,apparent_temp_max,apparent_temp_min,precipitation,rain,snowfall,wind_max,wind_mean,weather_code,is_forecast,ideal_temp,temp_score,rain_score,wind_score,sunshine_percentage,snow_bonus,nice_day_score,nice_day_label,heavy_rain,sunny_day,outdoor_score,comfort_score_v2,rain_score_v2,wind_score_v2,hazard_factor,nice_day_score_v2,nice_day_label_v2,outdoor_score_v2
01-01-20,4.6,-3.2,0.5,-1.1,-7.0,0.0,0.0,0.0,19.6,11.0,3,False,0,97.5,100.0,80.8,56.40712760079026,0,80.2,Nice,False,False,79.8,15.6,100.0,100.0,1.0,57.5,Average,31.9
02-01-20,4.2,-5.9,-1.7,0.2,-9.9,0.0,0.0,0.0,5.4,3.1,3,False,0,91.5,100.0,100.0,96.61325517068457,0,93.4,Excellent,False,True,95.7,20.8,100.0,100.0,1.0,67.6,Pleasant,51.1
03-01-20,6.9,-5.1,-1.1,2.9,-9.1,0.0,0.0,0.0,8.0,4.9,2,False,0,94.5,100.0,100.0,97.87141563690577,0,95.1,Excellent,False,True,97.2,31.6,100.0,100.0,1.0,72.2,Pleasant,58.1
04-01-20,4.7,-5.3,-0.4,0.9,-9.5,0.0,0.0,0.0,8.4,4.5,3,False,0,98.0,100.0,100.0,72.40578095393772,0,87.5,Nice,False,True,88.3,23.6,100.0,100.0,1.0,63.9,Pleasant,43.1
05-01-20,1.3,-1.3,0.0,-2.7,-5.3,2.8,0.0,1.96,21.0,12.5,73,False,0,100.0,88.8,78.0,43.790134962635875,10,75.1,Nice,False,False,73.6,9.2,100.0,100.0,1.0,52.4,Average,23.0
06-01-20,1.6,-3.5,-1.7,-2.3,-7.0,0.0,0.0,0.0,13.0,6.7,3,False,0,91.5,100.0,94.0,74.77148345155526,0,85.3,Nice,False,True,86.3,10.8,100.0,100.0,1.0,59.3,Average,36.4
07-01-20,1.4,-8.2,-3.8,-2.4,-12.5,0.0,0.0,0.0,6.1,3.3,1,False,0,81.0,100.0,100.0,97.90964280689765,0,89.7,Nice,False,True,92.5,10.4,100.0,100.0,1.0,63.7,Pleasant,45.4
08-01-20,2.0,-7.8,-3.8,-1.8,-12.4,0.0,0.0,0.0,8.9,5.3,1,False,0,81.0,100.0,100.0,97.92004320295806,0,89.7,Nice,False,True,92.5,12.8,100.0,100.0,1.0,64.7,Pleasant,46.8
09-01-20,2.3,-8.1,-3.3,-1.2,-12.2,0.4,0.0,0.28,8.1,3.8,73,False,0,83.5,98.4,100.0,66.01730966059269,0,79.3,Nice,False,False,80.4,15.2,100.0,100.0,1.0,59.3,Average,35.5
10-01-20,6.1,-4.2,0.9,3.6,-7.9,0.0,0.0,0.0,8.3,4.5,3,False,0,95.5,100.0,100.0,97.94161982156801,0,95.5,Excellent,False,True,97.6,34.4,100.0,100.0,1.0,73.3,Pleasant,59.8
11-01-20,5.3,-3.1,0.8,2.2,-6.5,0.0,0.0,0.0,7.6,4.1,2,False,0,96.0,100.0,100.0,97.95270673327865,0,95.7,Excellent,False,True,97.8,28.8,100.0,100.0,1.0,71.1,Pleasant,56.5
12-01-20,4.6,-1.6,1.4,1.9,-4.8,0.0,0.0,0.0,8.8,3.8,3,False,0,93.0,100.0,100.0,77.15198851095639,0,87.2,Nice,False,True,88.4,27.6,100.0,100.0,1.0,66.5,Pleasant,47.4
