name,city,legal_name,cui,caen,reg_com,confidence,source,notes
Sergiana,Brașov,ALTIUS SRL,1106353,5610,J08/1017/1992,high,https://termene.ro/firma/1106353,"Restaurants run through Altius SRL; the Sergiana meat brand is a separate company (Sergiana Prodimpex SRL)"
Bella Muzica,Brașov,BELLA MUZICA SRL,18955973,5510,J08/1974/2006,medium,https://listafirme.eu/bella-muzica-srl-18955973,"HQ = Piața Sfatului 19; no annual financials filed/surfaced"
Aro Palace,Brașov,ARO-PALACE SA,1102041,5510,J08/13/1991,high,https://termene.ro/firma/1102041,"BVB-listed hotel company (ticker ARO area)"
Casa Hirscher,Brașov,TRANSILVANIA HOTELS & RESTAURANTS SRL,15245106,5610,J08/354/2003,high,https://listafirme.eu/transilvania-hotels-restaurants-15245106,"Owns the Casa Hirscher trade name at Piața Sfatului 12-14"
Rockstadt,Brașov,ROCKSTADT MUSIK HALLE SRL,34700556,5630,J08/1055/2015,high,https://listafirme.eu/rockstadt-musik-halle-srl-34700556/,"Live-club operator; older CLUB ROCKSTADT SRL (27560360) is dormant"
Bistro de l'Arte,Brașov,BISTRO DE L'ARTE SRL,31306469,5611,J08/334/2013,high,https://listafirme.eu/bistro-de-arte-srl-31306469/,
Deane's / O'Peter's Irish Pub,Brașov,KRONSTADT IRISH PUB SRL,29531183,5630,J08/46/2012,high,https://listafirme.eu/kronstadt-irish-pub-srl-29531183/,"Formerly DEANE'S PUB SRL — same CUI; trade-name rebrand only"
Keller Steak House,Brașov,KELLER PACKHUB SRL (fostă KELLER STEAK HOUSE SRL),13170740,5210,J08/555/2000,low-medium,https://listafirme.eu/keller-steak-house-srl-13170740/,"SRL renamed & reclassified to logistics; steakhouse reportedly closed"
Dei Frati,Brașov,PASTA DEI FRATI SRL,46900817,5611,J08/3054/2022,high,https://listafirme.eu/pasta-dei-frati-srl-46900817/,
Hotel Casa Chitic,Brașov,MAX RESTO SRL,40365332,5611,J08/3188/2018,medium,https://listafirme.eu/max-resto-srl-40365332/,"Medium-confidence match; alt CASA CHITIC SRL 32554039 also exists"
Sub Tâmpa,Brașov,,,,,low,https://www.bizbrasov.ro/2018/01/15/foto-restaurantul-casa-padurarului-de-sub-tampa/,"Run by the Șoneriu family (also Ciucaș / Austin Meats); operating SRL not named. Formerly Casa Pădurarului"
Tipografia,Brașov,,,,,low,https://tipo-grafia.ro/contact/,Operating SRL not published anywhere
Safrano Palace,Brașov,SAFRANO PALACE SRL,47631580,5520,J08/458/2023,high,https://safranopalace.ro/termeni-si-conditii,CUI on own terms page
Panner Maison Finesse,Brașov,REGABRAN SRL,25847001,1071,J08/1153/2009,medium,https://totalfirme.ro/regabran-srl-25847001,"Via OSIM trademark PANNER MAISON FINESSE; Bran+Brașov pastry biz; site prints no CUI"
Pebs Concept,Brașov,PEBS ART SRL,32258807,4778,J08/1384/2013,medium,https://listafirme.eu/pebs-art-srl-32258807,"Jewelry/concept store (not a café); brand-name match; 2020-21 figures disputed"
Old Lisbon Sibiu,Sibiu,OLD LISBON SRL,32399547,5610,J32/943/2013,high,https://termene.ro/firma/32399547-OLD-LISBON-SRL,
Meron Sibiu,Sibiu,MERON GRANDE SRL,43784025,5630,J32/343/2021,medium-high,https://listafirme.eu/meron-grande-srl-43784025/,"Sibiu operator; distinct from brand owner Meron Roastery SRL (Cluj)"
Naturo Juice,Sibiu,NATURAL AUTENTIC DESIGN SRL,34319242,5630,J32/298/2015,high,https://naturojuice.ro/termeni-si-conditii/,CUI printed on own terms page
Crama Sibiul Vechi,Sibiu,SIBIUL VECHI SRL,2685768,5610,J32/1282/1991,high,https://listafirme.eu/sibiul-vechi-srl-2685768/,Est. 1991
La Turn,Sibiu,LA TURN SIBIU SRL,33401483,5610,J32/625/2014,high,https://listafirme.eu/la-turn-sibiu-srl-33401483/,
Café Wien,Sibiu,VIENA CAFE SRL,19158533,5630,J32/1599/2006,medium,https://listafirme.eu/viena-cafe-srl-19158533/,"Name = Viena/Wien; registered seat differs from Piața Huet"
Kulinarium,Sibiu,,,,,low,,Operating SRL not disclosed on site or directories
Pardon Café,Sibiu,SALUT SIBIU SRL,32193899,5610,J32/784/2013,medium,https://listafirme.eu/salut-sibiu-srl-32193899/,"CAEN + Str. Cetății 14 address match; site prints no CUI"
Hermania,Sibiu,,,,,low,https://hermania.sobis.ro/povestea-noastra/,"SOBIS group venture (SOBIS Solutions SRL 12018818); specific operating SRL unconfirmed"
Ramada Sibiu,Sibiu,GENERAL HOTEL GROUP SRL,24416892,5510,J32/1430/2008,high,https://listafirme.eu/general-hotel-group-srl-24416892/,
