name,cui,year,revenue_ron,net_profit_ron,employees,source,note
Sergiana,1106353,2020,18688261,946387,85,quickconta.ro (ANAF),
Sergiana,1106353,2021,33517663,5756284,163,quickconta.ro (ANAF),
Sergiana,1106353,2022,48113939,4618067,245,quickconta.ro (ANAF),
Sergiana,1106353,2023,58307542,4272113,242,quickconta.ro (ANAF),
Sergiana,1106353,2024,63562120,6047234,260,quickconta.ro (ANAF),
Aro Palace,1102041,2022,,-708200,114,zf.ro / BVB filings,Net loss 2022
Aro Palace,1102041,2023,30900000,35200000,123,zf.ro / BVB filings,"Net profit inflated by asset revaluation/sale; operating revenues ~78.9M"
Aro Palace,1102041,2024,32554581,2930000,128,zf.ro / BVB filings,"termene shows net 1,633,664"
Casa Hirscher,15245106,2020,4685492,-174297,56,quickconta.ro (ANAF),Transilvania Hotels & Restaurants SRL
Casa Hirscher,15245106,2021,7072065,2817395,34,quickconta.ro (ANAF),
Casa Hirscher,15245106,2022,9850325,2189654,48,quickconta.ro (ANAF),
Casa Hirscher,15245106,2023,8863241,1220957,46,quickconta.ro (ANAF),
Casa Hirscher,15245106,2024,9237417,1271914,45,quickconta.ro (ANAF),
Rockstadt,34700556,2021,1844584,334511,17,quickconta.ro (ANAF),
Rockstadt,34700556,2022,6126956,1977178,22,quickconta.ro (ANAF),
Rockstadt,34700556,2023,8082988,2133208,9,quickconta.ro (ANAF),
Rockstadt,34700556,2024,10151163,682187,19,quickconta.ro (ANAF),
Rockstadt,34700556,2025,10999299,1149346,12,quickconta.ro (ANAF),
Bistro de l'Arte,31306469,2021,2635806,313065,26,quickconta.ro (ANAF),
Bistro de l'Arte,31306469,2022,3752454,645988,32,quickconta.ro (ANAF),
Bistro de l'Arte,31306469,2023,4559460,985796,33,quickconta.ro (ANAF),
Bistro de l'Arte,31306469,2024,5138109,730703,34,quickconta.ro (ANAF),
Bistro de l'Arte,31306469,2025,5840899,838588,34,quickconta.ro (ANAF),
Deane's / O'Peter's Irish Pub,29531183,2021,4898533,608068,18,quickconta.ro (ANAF),Kronstadt Irish Pub SRL
Deane's / O'Peter's Irish Pub,29531183,2022,5552488,-11135,27,quickconta.ro (ANAF),
Deane's / O'Peter's Irish Pub,29531183,2023,4500638,221084,19,quickconta.ro (ANAF),
Deane's / O'Peter's Irish Pub,29531183,2024,4051288,15055,18,quickconta.ro (ANAF),
Deane's / O'Peter's Irish Pub,29531183,2025,3914034,-266685,16,quickconta.ro (ANAF),
Dei Frati,46900817,2022,0,-2897,1,quickconta.ro (ANAF),Founded 2022
Dei Frati,46900817,2023,4225270,766245,11,quickconta.ro (ANAF),
Dei Frati,46900817,2024,5076880,984761,16,quickconta.ro (ANAF),
Dei Frati,46900817,2025,6534155,1882916,16,quickconta.ro (ANAF),
Hotel Casa Chitic,40365332,2021,1328719,-138976,7,quickconta.ro (ANAF),Max Resto SRL (medium-confidence match)
Hotel Casa Chitic,40365332,2022,1681171,67196,8,quickconta.ro (ANAF),
Hotel Casa Chitic,40365332,2023,2128544,204092,8,quickconta.ro (ANAF),
Hotel Casa Chitic,40365332,2024,2299228,59847,9,quickconta.ro (ANAF),
Hotel Casa Chitic,40365332,2025,2485189,-76894,11,quickconta.ro (ANAF),
Keller Steak House,13170740,2020,19933384,1798024,49,quickconta.ro (ANAF),"SRL renamed KELLER PACKHUB (logistics); figures likely reflect logistics, not the closed steakhouse"
Keller Steak House,13170740,2021,15011796,75729,4,quickconta.ro (ANAF),
Keller Steak House,13170740,2022,10687528,69551,4,quickconta.ro (ANAF),
Keller Steak House,13170740,2023,14319881,152737,42,quickconta.ro (ANAF),
Keller Steak House,13170740,2024,11283142,15395,39,quickconta.ro (ANAF),
Keller Steak House,13170740,2025,23452029,2046006,48,cui.voloaga.ro / risco.ro,
Pebs Concept,32258807,2021,1294751,331844,3,quickconta.ro (ANAF),Pebs Art SRL (jewelry/concept store)
Pebs Concept,32258807,2022,2290651,502585,7,quickconta.ro (ANAF),
Pebs Concept,32258807,2023,2210863,338388,7,quickconta.ro (ANAF),
Pebs Concept,32258807,2024,2053192,106871,7,quickconta.ro (ANAF),
Pebs Concept,32258807,2025,1672905,-88303,7,quickconta.ro (ANAF),
Panner Maison Finesse,25847001,2020,2091290,643578,13,totalfirme.ro,Regabran SRL (Bran+Brașov pastry producer)
Panner Maison Finesse,25847001,2021,3344027,1336202,21,totalfirme.ro,
Panner Maison Finesse,25847001,2022,4210742,660499,19,totalfirme.ro,
Panner Maison Finesse,25847001,2023,5418559,1158810,18,totalfirme.ro,
Panner Maison Finesse,25847001,2024,6815369,320443,25,totalfirme.ro,
Safrano Palace,47631580,2023,2051000,337600,10,risco.ro,Approx (EUR-derived on risco)
Safrano Palace,47631580,2024,3371089,421658,14,risco.ro / listafirme,
Old Lisbon Sibiu,32399547,2020,219779,-65743,8,totalfirme.ro (matches quickconta),
Old Lisbon Sibiu,32399547,2021,845055,228569,8,totalfirme.ro (matches quickconta),
Old Lisbon Sibiu,32399547,2022,1206576,143707,7,totalfirme.ro (matches quickconta),
Old Lisbon Sibiu,32399547,2023,1354113,82407,8,totalfirme.ro (matches quickconta),
Old Lisbon Sibiu,32399547,2024,1179174,-120774,7,totalfirme.ro (matches quickconta),
Old Lisbon Sibiu,32399547,2025,1620380,41762,8,totalfirme.ro,
Meron Sibiu,43784025,2021,66028,-120724,2,totalfirme.ro,Founded Feb 2021
Meron Sibiu,43784025,2022,762546,-302522,6,totalfirme.ro,
Meron Sibiu,43784025,2023,900621,-60602,6,totalfirme.ro,
Meron Sibiu,43784025,2024,973054,46928,5,totalfirme.ro,
Naturo Juice,34319242,2020,509830,-90384,7,totalfirme.ro,
Naturo Juice,34319242,2021,876641,131791,6,totalfirme.ro,
Naturo Juice,34319242,2022,1197803,88809,7,totalfirme.ro,
Naturo Juice,34319242,2023,1594868,82436,8,totalfirme.ro,
Naturo Juice,34319242,2024,2040942,197264,7,totalfirme.ro,
Naturo Juice,34319242,2025,1953021,72478,8,totalfirme.ro,
Crama Sibiul Vechi,2685768,2020,545106,-80231,13,totalfirme.ro (matches quickconta),
Crama Sibiul Vechi,2685768,2021,1761074,490393,16,totalfirme.ro (matches quickconta),
Crama Sibiul Vechi,2685768,2022,1811194,259222,12,totalfirme.ro (matches quickconta),
Crama Sibiul Vechi,2685768,2023,2707615,128543,13,totalfirme.ro (matches quickconta),
Crama Sibiul Vechi,2685768,2024,3320666,169348,15,totalfirme.ro (matches quickconta),
Crama Sibiul Vechi,2685768,2025,3785161,311708,15,totalfirme.ro,
La Turn,33401483,2020,1735897,-207456,26,totalfirme.ro,
La Turn,33401483,2021,2117518,184401,19,totalfirme.ro,
La Turn,33401483,2022,3493596,93749,21,totalfirme.ro,
La Turn,33401483,2023,4411606,-14290,23,totalfirme.ro,
La Turn,33401483,2024,5161894,147005,22,totalfirme.ro,
La Turn,33401483,2025,5658639,172005,22,totalfirme.ro,
Café Wien,19158533,2020,810990,5361,8,totalfirme.ro,
Café Wien,19158533,2021,2025599,353203,9,totalfirme.ro,
Café Wien,19158533,2022,3011678,945511,16,totalfirme.ro,
Café Wien,19158533,2023,3399854,958882,12,totalfirme.ro,
Café Wien,19158533,2024,3815223,1023514,13,totalfirme.ro,
Café Wien,19158533,2025,4064280,978511,13,totalfirme.ro,
Pardon Café,32193899,2020,1401496,179371,9,totalfirme.ro,Salut Sibiu SRL
Pardon Café,32193899,2021,1815472,728077,14,totalfirme.ro,
Pardon Café,32193899,2022,2226587,630207,4,totalfirme.ro,
Pardon Café,32193899,2023,1053757,-13351,5,totalfirme.ro,
Pardon Café,32193899,2024,713558,-104369,2,totalfirme.ro,
Ramada Sibiu,24416892,2020,12888380,-1079540,58,totalfirme.ro,General Hotel Group SRL
Ramada Sibiu,24416892,2021,13603290,-601215,60,totalfirme.ro,
Ramada Sibiu,24416892,2022,20816067,1467775,61,totalfirme.ro,
Ramada Sibiu,24416892,2023,20726858,4107794,61,totalfirme.ro,
Ramada Sibiu,24416892,2024,11435720,-3142831,,totalfirme.ro,Employee count not shown
Ramada Sibiu,24416892,2025,4939692,728708,3,totalfirme.ro,
Hotel Împăratul Romanilor,2468963,2020,8036848,355492,42,totalfirme.ro,"SRL operates several hotels; sibling entities exist"
Hotel Împăratul Romanilor,2468963,2021,13138493,3397251,34,totalfirme.ro,
Hotel Împăratul Romanilor,2468963,2022,18137612,4480906,39,totalfirme.ro,
Hotel Împăratul Romanilor,2468963,2023,18809199,1532798,48,totalfirme.ro,
