name,city,google_rating,google_review_count,google_status,as_of,source
Crama Sibiul Vechi,Sibiu,4.6,~5454,Open,2026-08-03,WebSearch (Google snippet)
Weinkeller,Sibiu,4.5,,Open,2026-08-03,WebSearch (Google snippet)
La Turn,Sibiu,4.5,,Open,2026-08-03,WebSearch (RestaurantGuru/Google)
La Taifas,Sibiu,4.2,~1385,Open,2026-08-03,WebSearch (Google snippet)
Hermania,Sibiu,4.5,~2168,Open,2026-08-03,WebSearch (Google snippet)
Music Pub,Sibiu,4.3,~3164,Open,2026-08-03,WebSearch (Google snippet)
Café Wien,Sibiu,4.6,,Open,2026-08-03,WebSearch (Google snippet)
Pardon Café,Sibiu,4.4,,Open,2026-08-03,WebSearch (RestaurantGuru/Google)
Meron Sibiu,Sibiu,,,Open,2026-08-03,WebSearch (no Google figure found)
Kombinat,Sibiu,4.7,,Open,2026-08-03,WebSearch (Google snippet)
Insieme Ristorante,Sibiu,,,Open,2026-08-03,WebSearch (ambiguous listing)
St. Andrew's Scottish Pub,Sibiu,4.6,~1313,Open,2026-08-03,WebSearch (RestaurantGuru/Google)
The Rabbit Hole,Sibiu,4.0,,Open,2026-08-03,WebSearch (Google snippet)
Benjamin Steakhouse,Sibiu,4.6,,Open,2026-08-03,WebSearch (Google snippet)
Kulinarium,Sibiu,4.4,,Open,2026-08-03,WebSearch (Google snippet)
Old Lisbon Sibiu,Sibiu,4.6,~1571,Open,2026-08-03,WebSearch (Google snippet)
Hotel Împăratul Romanilor,Sibiu,,,Open,2026-08-03,WebSearch (no Google figure found)
Hotel Continental Forum,Sibiu,4.1,~2600,Open,2026-08-03,WebSearch (Google Hotels)
Ramada Sibiu,Sibiu,4.2,~3260,Open,2026-08-03,WebSearch (Google snippet)
Casa Luxemburg,Sibiu,,,Open,2026-08-03,WebSearch (no Google figure found)
Sergiana,Brașov,4.6,~7200,Open,2026-08-03,WebSearch (count low-confidence)
Bella Muzica,Brașov,4.3,~67,Open,2026-08-03,WebSearch (count likely TripAdvisor not Google)
Casa Românească,Brașov,4.4,,Open,2026-08-03,WebSearch (restaurantguru)
Gustări,Brașov,,,Open,2026-08-03,WebSearch (no Google figure found)
Sub Tâmpa,Brașov,4.6,~7200,Open,2026-08-03,WebSearch (count low-confidence — matches Sergiana, suspect)
Dei Frati,Brașov,4.8,,Open,2026-08-03,WebSearch (restaurantguru)
Prato,Brașov,4.5,,Open,2026-08-03,WebSearch (restaurantguru)
Keller Steak House,Brașov,4.5,~717,Permanently closed,2026-08-03,WebSearch (Google)
Casa Hirscher,Brașov,4.3,,Open,2026-08-03,WebSearch (restaurantguru)
Deane's / O'Peter's Irish Pub,Brașov,4.5,,Open,2026-08-03,WebSearch (restaurantguru/wanderlog)
Rockstadt,Brașov,,,Open,2026-08-03,WebSearch (no Google figure found)
Tipografia,Brașov,4.7,,Open,2026-08-03,WebSearch (wanderlog)
Bistro de l'Arte,Brașov,4.6,,Open,2026-08-03,WebSearch (wanderlog)
Aro Palace,Brașov,,,Open,2026-08-03,WebSearch (OTA ratings only)
Casa Wagner,Brașov,,,Open,2026-08-03,WebSearch (OTA ratings only)
Cupt'Or,Brașov,4.7,~6985,Open,2026-08-03,WebSearch (count low-confidence)
5 to go (Piața Sfatului),Brașov,,,Open,2026-08-03,WebSearch (no Google figure found)
Butoiul Sasului,Brașov,4.4,,Open,2026-08-03,WebSearch (restaurantguru)
Ursul Carpatin,Brașov,4.0,,Open,2026-08-03,WebSearch (restaurantguru)
Berăria Poftă sau Foame,Brașov,4.4,~11705,Open,2026-08-03,WebSearch (count low-confidence)
