name,instagram_url,ig_followers,ig_posts,facebook_url,fb_followers,tiktok_url,tiktok_followers,tiktok_likes,other_social,as_of,source
Crama Sibiul Vechi,https://www.instagram.com/sibiulvechi/,~214,,https://www.facebook.com/cramasibiulvechi/,~2584,,,,,2026-08,google snippet
Weinkeller,https://www.instagram.com/restaurantweinkeller/,~267,,https://www.facebook.com/Weinkeller.Sibiu/,,,,,,2026-08,google snippet
La Turn,https://www.instagram.com/restaurantlaturn/,~6071,~501,https://www.facebook.com/laturnsibiu.ro/,,,,,,2026-08,google snippet
La Taifas,https://www.instagram.com/lataifas/,~720,,https://www.facebook.com/restaurantlataifas/,~1934,,,,,2026-08,google snippet
Hermania,https://www.instagram.com/hermania.sobis.ro/,,,https://www.facebook.com/hermania.sobis.ro/,,,,,,2026-08,google snippet
Music Pub,https://www.instagram.com/musicpubsibiu/,~627,,https://www.facebook.com/MusicPubSibiu/,~8923,,,,X/Twitter @musicpubsibiu ~45,2026-08,google snippet
Café Wien,https://www.instagram.com/cafewiensibiu/,~1939,,https://www.facebook.com/cafewien.ro/,~8325,,,,,2026-08,google snippet
Pardon Café,https://www.instagram.com/pardon_cafe/,~1561,,https://www.facebook.com/PardonCafeBistro/,~22229,,,,,2026-08,google snippet
Meron Sibiu,https://www.instagram.com/meron.coffee/,~28000,,,,https://www.tiktok.com/@meron.coffee,~1551,~20300,brand/chain account (not Sibiu-only),2026-08,google snippet
Kombinat,https://www.instagram.com/kombinatsibiu/,~4506,,https://www.facebook.com/kombinatsibiu/,,,,,,2026-08,google snippet
Insieme Ristorante,https://www.instagram.com/insieme_pizzeria_ristorante/,~874,,https://www.facebook.com/insiemeristorantesibiu/,~5100,,,,,2026-08,google snippet
St. Andrew's Scottish Pub,https://www.instagram.com/standrewsscottishpub/,,,https://www.facebook.com/StAndrewsScottishPub/,~4000,,,,,2026-08,google snippet
The Rabbit Hole,https://www.instagram.com/therabbithole.sibiu/,~2246,,https://www.facebook.com/therabbitholesb/,~3700,,,,,2026-08,google snippet
Benjamin Steakhouse,https://www.instagram.com/benjaminsteakhouse_sibiu/,~1725,,https://www.facebook.com/BenjaminSteakhouseSibiu/,~11000,,,,,2026-08,google snippet
Kulinarium,https://www.instagram.com/restaurantkulinarium/,~1901,~1351,https://www.facebook.com/kulinarium.sibiu/,~5431,,,,,2026-08,google snippet
Old Lisbon Sibiu,https://www.instagram.com/oldlisbonsibiu/,~676,~1138,https://www.facebook.com/restaurantportughez/,~8666,,,,,2026-08,google snippet
Hotel Împăratul Romanilor,https://www.instagram.com/imparatulromanilor/,,,https://www.facebook.com/ImparatulRomanilorSibiu/,~13732,,,,,2026-08,google snippet
Hotel Continental Forum,https://www.instagram.com/continentalforumsb/,~247,~440,https://www.facebook.com/ContinentalForumSibiu/,~5753,,,,,2026-08,google snippet
Ramada Sibiu,https://www.instagram.com/ramada.sibiu/,~2676,,https://www.facebook.com/hotelramadasibiu/,~16955,,,,,2026-08,google snippet
Casa Luxemburg,https://www.instagram.com/casaluxemburghotel/,~310,,https://www.facebook.com/casaluxemburgsibiu/,~1200,,,,,2026-08,google snippet
Hochmeister delikat'essen,https://www.instagram.com/hochmeister_delikatessen/,~558,~48,https://www.facebook.com/HochmeisterSibiu/,,,,,,2026-08,google snippet
La Cuptor,https://www.instagram.com/lacuptor/,~3862,,https://www.facebook.com/p/La-Cuptor-100064696838591/,~14104,,,,,2026-08,google snippet
Consommé Bistro,https://www.instagram.com/consommebistro/,,,https://www.facebook.com/p/Consomm%C3%A9-Bistro-100062960333110/,,,,,,2026-08,google snippet
Ribs&Beer,https://www.instagram.com/ribsandbeer.sibiu/,,,https://www.facebook.com/ribsandbeersibiu/,~1538,,,,,2026-08,google snippet
Syndicat (Syndicat Gourmet),https://www.instagram.com/syndicatgourmet/,~1682,,,,,,,likely closed,2026-08,google snippet
Atrium,https://www.instagram.com/atrium_sibiu/,~1688,,https://www.facebook.com/AtriumSibiu/,~9144,,,,,2026-08,google snippet
Lumos Coffee & Brunch,https://www.instagram.com/lumoscoffeebrunch/,~7993,,https://www.facebook.com/lumoscoffeebrunch/,,https://www.tiktok.com/@lumoscoffeebrunch,,~4721,,2026-08,google snippet
Hug the Mug,https://www.instagram.com/hugthemugcoffee/,~2867,,https://www.facebook.com/HugtheMugCoffeeToGo/,,,,,,2026-08,google snippet
Stravagante Caffe,,,,https://www.facebook.com/StravaganteCaffeSibiu/,,,,,web stravagantecaffe.ro,2026-08,google snippet
Gogosh Coffee & Donuts,https://www.instagram.com/gogoshsibiu/,~7581,,https://www.facebook.com/GogoshSibiu/,~4357,https://www.tiktok.com/@gogoshsibiu,,,,2026-08,google snippet
Restaurant Baroc Cafe,,,,https://www.facebook.com/baroccafee/,,,,,,2026-08,google snippet
Geea Caffe,,,,https://www.facebook.com/caffegeea/,,,,,,2026-08,google snippet
Amber Caffe (Restaurant Gothic),https://www.instagram.com/ambercaffesibiu/,~341,,https://www.facebook.com/ambercaffesibiu/,,,,,restaurant of Hotel Am Ring,2026-08,google snippet
Bobalicious Bubble Tea,https://www.instagram.com/bobalicious.bubbletea/,~1136,~204,https://www.facebook.com/p/Bobalicious-Bubble-Tea-100076372591792/,~899,,,,,2026-08,google snippet
JAP Caffe & Brasserie,https://www.instagram.com/jap.caffebrasserie/,,,https://www.facebook.com/jap.caffebrasserie/,,,,,,2026-08,google snippet
Arcade Cafe,,,,https://www.facebook.com/ArcadeSibiu/,~1000,,,,,2026-08,google snippet
TheRefresh,https://www.instagram.com/therefresh/,~2570,~612,https://www.facebook.com/TheRefresh.ro/,,,,,web therefresh.ro,2026-08,google snippet
Kleines Gelato,https://www.instagram.com/kleines.gelatobar/,,,,,,,,web kleinesgelato.ro,2026-08,google snippet
Gelateria Nessa,https://www.instagram.com/nessa__parlourdugelato/,,,https://www.facebook.com/nessa.parlourdugelato,,,,,,2026-08,google snippet
Imperium Live,https://www.instagram.com/imperium.live/,~696,~1107,https://www.facebook.com/ImperiumLive/,,,,,web imperiumsibiu.ro,2026-08,google snippet
Butoiul de Aur,https://www.instagram.com/butoiuldeaur/,,,https://www.facebook.com/butoiuldeaurberaria/,,,,,,2026-08,google snippet
House of Ellixirz,https://www.instagram.com/ellixirz/,,,https://www.facebook.com/ellixirz,,,,,web ellixirz.com,2026-08,google snippet
Flow - Refugiu Urban,https://www.instagram.com/flow.refugiu.urban/,~1705,,https://www.facebook.com/flowstery.ro/,,,,,,2026-08,google snippet
Naturo Juice,https://www.instagram.com/naturojuice/,~2400,~235,https://www.facebook.com/NaturoJuice/,~3212,,,,web naturojuice.ro,2026-08,google snippet
Lejer Cafe Bar,https://www.instagram.com/lejer_cafebar/,,,,,,,,,2026-08,google snippet
Petit Patis,https://www.instagram.com/petitpatis/,~6201,~544,https://www.facebook.com/ArtisanPetitPatis/,~8026,,,,,2026-08,google snippet
5 Pâini și 2 Pești,,,,https://www.facebook.com/p/5-Paini-2-Pesti-100064779008510/,,,,,,2026-08,google snippet
Hotel Am Ring,https://www.instagram.com/amringhotelsibiu/,~300,~20,https://www.facebook.com/amringhotelsibiu/,,,,,web amringhotel.ro,2026-08,google snippet
Casa Nicolae Luxury Suites,,,,https://www.facebook.com/casanicolae/,,,,,web casanicolae.com,2026-08,google snippet
Baroc Accommodation Piața Mică,,,,https://www.facebook.com/baroc.sibiu.1,,,,,,2026-08,google snippet
