city,year,arrivals_romanian,arrivals_foreign,arrivals_total,foreign_pct
Brasov,2020,688692,26667,715359,3.7
Brasov,2021,1072371,53110,1125481,4.7
Brasov,2022,1263296,106112,1369408,7.7
Brasov,2023,1349463,164062,1513525,10.8
Brasov,2024,1325319,182846,1508165,12.1
Brasov,2025,1187274,201719,1388993,14.5
Sibiu,2020,239724,20897,260621,8.0
Sibiu,2021,388122,56163,444285,12.6
Sibiu,2022,429013,89885,518898,17.3
Sibiu,2023,439391,127204,566595,22.5
Sibiu,2024,417862,144703,562565,25.7
Sibiu,2025,441410,166062,607472,27.3
