city,year,month,arrivals_romanian,arrivals_foreign,arrivals_total
Brasov,2020,01,114181,7492,121673
Brasov,2020,02,93421,7236,100657
Brasov,2020,03,23491,2088,25579
Brasov,2020,04,59,2,61
Brasov,2020,05,2106,23,2129
Brasov,2020,06,26624,271,26895
Brasov,2020,07,61937,1378,63315
Brasov,2020,08,107600,2081,109681
Brasov,2020,09,81506,2200,83706
Brasov,2020,10,69719,1664,71383
Brasov,2020,11,50385,1004,51389
Brasov,2020,12,57663,1228,58891
Brasov,2021,01,105575,1739,107314
Brasov,2021,02,96209,1582,97791
Brasov,2021,03,57907,1579,59486
Brasov,2021,04,52118,1178,53296
Brasov,2021,05,66698,1690,68388
Brasov,2021,06,72379,3164,75543
Brasov,2021,07,115320,8239,123559
Brasov,2021,08,146259,11380,157639
Brasov,2021,09,108352,9312,117664
Brasov,2021,10,77749,6332,84081
Brasov,2021,11,73554,2985,76539
Brasov,2021,12,100251,3930,104181
Brasov,2022,01,102231,4877,107108
Brasov,2022,02,93250,4078,97328
Brasov,2022,03,77068,5230,82298
Brasov,2022,04,79045,6722,85767
Brasov,2022,05,87925,7860,95785
Brasov,2022,06,101430,10935,112365
Brasov,2022,07,125461,13162,138623
Brasov,2022,08,147234,15201,162435
Brasov,2022,09,113221,13551,126772
Brasov,2022,10,122933,9937,132870
Brasov,2022,11,101212,6330,107542
Brasov,2022,12,112286,8229,120515
Brasov,2023,01,100898,9407,110305
Brasov,2023,02,119195,8482,127677
Brasov,2023,03,82246,8401,90647
Brasov,2023,04,90614,11448,102062
Brasov,2023,05,100207,15067,115274
Brasov,2023,06,106947,14758,121705
Brasov,2023,07,128484,20263,148747
Brasov,2023,08,157688,23205,180893
Brasov,2023,09,118554,21145,139699
Brasov,2023,10,119069,15125,134194
Brasov,2023,11,110983,8349,119332
Brasov,2023,12,114578,8412,122990
Brasov,2024,01,99972,8948,108920
Brasov,2024,02,110842,7649,118491
Brasov,2024,03,89100,9196,98296
Brasov,2024,04,86527,13110,99637
Brasov,2024,05,99870,19153,119023
Brasov,2024,06,105897,17598,123495
Brasov,2024,07,127187,22044,149231
Brasov,2024,08,149364,25190,174554
Brasov,2024,09,110464,21548,132012
Brasov,2024,10,119438,15724,135162
Brasov,2024,11,105393,11621,117014
Brasov,2024,12,121265,11065,132330
Brasov,2025,01,121607,10840,132447
Brasov,2025,02,109030,7585,116615
Brasov,2025,03,77095,9243,86338
Brasov,2025,04,73390,14002,87392
Brasov,2025,05,87733,19497,107230
Brasov,2025,06,85227,20328,105555
Brasov,2025,07,110099,22457,132556
Brasov,2025,08,128646,27232,155878
Brasov,2025,09,96283,25220,121503
Brasov,2025,10,108104,21839,129943
Brasov,2025,11,87763,11116,98879
Brasov,2025,12,102297,12360,114657
Sibiu,2020,01,30019,4039,34058
Sibiu,2020,02,23933,3904,27837
Sibiu,2020,03,6423,1577,8000
Sibiu,2020,04,,,
Sibiu,2020,05,337,11,348
Sibiu,2020,06,10273,807,11080
Sibiu,2020,07,30925,2997,33922
Sibiu,2020,08,58307,2434,60741
Sibiu,2020,09,36398,2195,38593
Sibiu,2020,10,21169,1594,22763
Sibiu,2020,11,8836,712,9548
Sibiu,2020,12,13104,627,13731
Sibiu,2021,01,21654,581,22235
Sibiu,2021,02,22928,753,23681
Sibiu,2021,03,15437,753,16190
Sibiu,2021,04,15998,869,16867
Sibiu,2021,05,23092,1730,24822
Sibiu,2021,06,28933,3109,32042
Sibiu,2021,07,52839,11396,64235
Sibiu,2021,08,69780,13968,83748
Sibiu,2021,09,47895,10419,58314
Sibiu,2021,10,24648,5693,30341
Sibiu,2021,11,29639,4368,34007
Sibiu,2021,12,35279,2524,37803
Sibiu,2022,01,25109,2097,27206
Sibiu,2022,02,21624,2267,23891
Sibiu,2022,03,20660,3525,24185
Sibiu,2022,04,26451,4778,31229
Sibiu,2022,05,32000,6967,38967
Sibiu,2022,06,38382,9348,47730
Sibiu,2022,07,51437,13886,65323
Sibiu,2022,08,58947,15931,74878
Sibiu,2022,09,40403,11731,52134
Sibiu,2022,10,37461,9032,46493
Sibiu,2022,11,34995,5468,40463
Sibiu,2022,12,41544,4855,46399
Sibiu,2023,01,28050,3530,31580
Sibiu,2023,02,27418,3212,30630
Sibiu,2023,03,28140,4937,33077
Sibiu,2023,04,30257,7952,38209
Sibiu,2023,05,33227,11736,44963
Sibiu,2023,06,34613,14307,48920
Sibiu,2023,07,50763,19970,70733
Sibiu,2023,08,58573,20881,79454
Sibiu,2023,09,38957,16232,55189
Sibiu,2023,10,36133,12436,48569
Sibiu,2023,11,34838,6940,41778
Sibiu,2023,12,38422,5071,43493
Sibiu,2024,01,21261,4126,25387
Sibiu,2024,02,27861,5182,33043
Sibiu,2024,03,25950,6248,32198
Sibiu,2024,04,27934,8588,36522
Sibiu,2024,05,31631,13536,45167
Sibiu,2024,06,34514,14728,49242
Sibiu,2024,07,42997,21059,64056
Sibiu,2024,08,52314,24944,77258
Sibiu,2024,09,36939,18107,55046
Sibiu,2024,10,37141,13167,50308
Sibiu,2024,11,34529,8045,42574
Sibiu,2024,12,44791,6973,51764
Sibiu,2025,01,30767,4429,35196
Sibiu,2025,02,26239,4404,30643
Sibiu,2025,03,26040,7734,33774
Sibiu,2025,04,26562,10776,37338
Sibiu,2025,05,40968,16013,56981
Sibiu,2025,06,39848,20098,59946
Sibiu,2025,07,46522,22039,68561
Sibiu,2025,08,55139,27500,82639
Sibiu,2025,09,34969,18558,53527
Sibiu,2025,10,37624,16496,54120
Sibiu,2025,11,35103,9211,44314
Sibiu,2025,12,41629,8804,50433
