# ESTIMATE - modelled, not measured. See estimate_city_provenance.py.
# Assumptions: NAT_FOREIGN_TOTAL=2585000; German uplift Brasov=1.35 Sibiu=1.55;
# city foreign totals: Brasov=201719 Sibiu=150000 (real, 2025).
city,country,estimated_foreign_arrivals_2025,share_of_foreign_pct,basis
Brasov,Other countries,36129,17.91,national-proportion
Brasov,Germany,25129,12.46,national-proportion + 1.35x German uplift
Brasov,Italy,16992,8.42,national-proportion
Brasov,Israel,13788,6.84,national-proportion
Brasov,USA,11435,5.67,national-proportion
Brasov,United Kingdom,11370,5.64,national-proportion
Brasov,Spain,9558,4.74,national-proportion
Brasov,Poland,9457,4.69,national-proportion
Brasov,Hungary,9241,4.58,national-proportion
Brasov,France,8152,4.04,national-proportion
Brasov,Ukraine,7679,3.81,national-proportion
Brasov,Moldova,7369,3.65,national-proportion
Brasov,Bulgaria,7049,3.49,national-proportion
Brasov,Turkey,4946,2.45,national-proportion
Brasov,Greece,4446,2.2,national-proportion
Brasov,Netherlands,4401,2.18,national-proportion
Brasov,Austria,3934,1.95,national-proportion
Brasov,China,2870,1.42,national-proportion
Brasov,Serbia,2837,1.41,national-proportion
Brasov,Belgium,2598,1.29,national-proportion
Brasov,Switzerland,2336,1.16,national-proportion
Sibiu,Other countries,26379,17.59,national-proportion
Sibiu,Germany,21066,14.04,national-proportion + 1.55x German uplift
Sibiu,Italy,12406,8.27,national-proportion
Sibiu,Israel,10067,6.71,national-proportion
Sibiu,USA,8349,5.57,national-proportion
Sibiu,United Kingdom,8302,5.53,national-proportion
Sibiu,Spain,6978,4.65,national-proportion
Sibiu,Poland,6905,4.6,national-proportion
Sibiu,Hungary,6747,4.5,national-proportion
Sibiu,France,5952,3.97,national-proportion
Sibiu,Ukraine,5607,3.74,national-proportion
Sibiu,Moldova,5381,3.59,national-proportion
Sibiu,Bulgaria,5147,3.43,national-proportion
Sibiu,Turkey,3611,2.41,national-proportion
Sibiu,Greece,3246,2.16,national-proportion
Sibiu,Netherlands,3214,2.14,national-proportion
Sibiu,Austria,2872,1.91,national-proportion
Sibiu,China,2096,1.4,national-proportion
Sibiu,Serbia,2071,1.38,national-proportion
Sibiu,Belgium,1897,1.26,national-proportion
Sibiu,Switzerland,1706,1.14,national-proportion
