# ESTIMATE - modelled, not measured. See estimate_monthly_by_country.py.
# Annual per-country estimate spread over months by the city's REAL monthly foreign curve (Tempo TUR104F).
# Country mix is constant within a year; only the month-shape is real.
city,year,month,country,estimated_foreign_arrivals
Brasov,2020,01,Other countries,1308
Brasov,2020,02,Other countries,1263
Brasov,2020,03,Other countries,364
Brasov,2020,04,Other countries,0
Brasov,2020,05,Other countries,4
Brasov,2020,06,Other countries,47
Brasov,2020,07,Other countries,241
Brasov,2020,08,Other countries,363
Brasov,2020,09,Other countries,384
Brasov,2020,10,Other countries,290
Brasov,2020,11,Other countries,175
Brasov,2020,12,Other countries,214
Brasov,2020,01,Germany,1066
Brasov,2020,02,Germany,1030
Brasov,2020,03,Germany,297
Brasov,2020,04,Germany,0
Brasov,2020,05,Germany,3
Brasov,2020,06,Germany,39
Brasov,2020,07,Germany,196
Brasov,2020,08,Germany,296
Brasov,2020,09,Germany,313
Brasov,2020,10,Germany,237
Brasov,2020,11,Germany,143
Brasov,2020,12,Germany,175
Brasov,2020,01,Italy,611
Brasov,2020,02,Italy,590
Brasov,2020,03,Italy,170
Brasov,2020,04,Italy,0
Brasov,2020,05,Italy,2
Brasov,2020,06,Italy,22
Brasov,2020,07,Italy,112
Brasov,2020,08,Italy,170
Brasov,2020,09,Italy,179
Brasov,2020,10,Italy,136
Brasov,2020,11,Italy,82
Brasov,2020,12,Italy,100
Brasov,2020,01,Israel,536
Brasov,2020,02,Israel,518
Brasov,2020,03,Israel,149
Brasov,2020,04,Israel,0
Brasov,2020,05,Israel,2
Brasov,2020,06,Israel,19
Brasov,2020,07,Israel,99
Brasov,2020,08,Israel,149
Brasov,2020,09,Israel,157
Brasov,2020,10,Israel,119
Brasov,2020,11,Israel,72
Brasov,2020,12,Israel,88
Brasov,2020,01,USA,414
Brasov,2020,02,USA,400
Brasov,2020,03,USA,115
Brasov,2020,04,USA,0
Brasov,2020,05,USA,1
Brasov,2020,06,USA,15
Brasov,2020,07,USA,76
Brasov,2020,08,USA,115
Brasov,2020,09,USA,122
Brasov,2020,10,USA,92
Brasov,2020,11,USA,55
Brasov,2020,12,USA,68
Brasov,2020,01,United Kingdom,412
Brasov,2020,02,United Kingdom,398
Brasov,2020,03,United Kingdom,115
Brasov,2020,04,United Kingdom,0
Brasov,2020,05,United Kingdom,1
Brasov,2020,06,United Kingdom,15
Brasov,2020,07,United Kingdom,76
Brasov,2020,08,United Kingdom,114
Brasov,2020,09,United Kingdom,121
Brasov,2020,10,United Kingdom,91
Brasov,2020,11,United Kingdom,55
Brasov,2020,12,United Kingdom,67
Brasov,2020,01,Spain,346
Brasov,2020,02,Spain,334
Brasov,2020,03,Spain,96
Brasov,2020,04,Spain,0
Brasov,2020,05,Spain,1
Brasov,2020,06,Spain,13
Brasov,2020,07,Spain,64
Brasov,2020,08,Spain,96
Brasov,2020,09,Spain,102
Brasov,2020,10,Spain,77
Brasov,2020,11,Spain,46
Brasov,2020,12,Spain,57
Brasov,2020,01,Poland,342
Brasov,2020,02,Poland,331
Brasov,2020,03,Poland,95
Brasov,2020,04,Poland,0
Brasov,2020,05,Poland,1
Brasov,2020,06,Poland,12
Brasov,2020,07,Poland,63
Brasov,2020,08,Poland,95
Brasov,2020,09,Poland,101
Brasov,2020,10,Poland,76
Brasov,2020,11,Poland,46
Brasov,2020,12,Poland,56
Brasov,2020,01,Hungary,335
Brasov,2020,02,Hungary,323
Brasov,2020,03,Hungary,93
Brasov,2020,04,Hungary,0
Brasov,2020,05,Hungary,1
Brasov,2020,06,Hungary,12
Brasov,2020,07,Hungary,62
Brasov,2020,08,Hungary,93
Brasov,2020,09,Hungary,98
Brasov,2020,10,Hungary,74
Brasov,2020,11,Hungary,45
Brasov,2020,12,Hungary,55
Brasov,2020,01,France,295
Brasov,2020,02,France,285
Brasov,2020,03,France,82
Brasov,2020,04,France,0
Brasov,2020,05,France,1
Brasov,2020,06,France,11
Brasov,2020,07,France,54
Brasov,2020,08,France,82
Brasov,2020,09,France,87
Brasov,2020,10,France,66
Brasov,2020,11,France,40
Brasov,2020,12,France,48
Brasov,2020,01,Ukraine,278
Brasov,2020,02,Ukraine,269
Brasov,2020,03,Ukraine,78
Brasov,2020,04,Ukraine,0
Brasov,2020,05,Ukraine,1
Brasov,2020,06,Ukraine,10
Brasov,2020,07,Ukraine,51
Brasov,2020,08,Ukraine,77
Brasov,2020,09,Ukraine,82
Brasov,2020,10,Ukraine,62
Brasov,2020,11,Ukraine,37
Brasov,2020,12,Ukraine,46
Brasov,2020,01,Moldova,267
Brasov,2020,02,Moldova,258
Brasov,2020,03,Moldova,74
Brasov,2020,04,Moldova,0
Brasov,2020,05,Moldova,1
Brasov,2020,06,Moldova,10
Brasov,2020,07,Moldova,49
Brasov,2020,08,Moldova,74
Brasov,2020,09,Moldova,78
Brasov,2020,10,Moldova,59
Brasov,2020,11,Moldova,36
Brasov,2020,12,Moldova,44
Brasov,2020,01,Bulgaria,255
Brasov,2020,02,Bulgaria,246
Brasov,2020,03,Bulgaria,71
Brasov,2020,04,Bulgaria,0
Brasov,2020,05,Bulgaria,1
Brasov,2020,06,Bulgaria,9
Brasov,2020,07,Bulgaria,47
Brasov,2020,08,Bulgaria,71
Brasov,2020,09,Bulgaria,75
Brasov,2020,10,Bulgaria,57
Brasov,2020,11,Bulgaria,34
Brasov,2020,12,Bulgaria,42
Brasov,2020,01,Turkey,179
Brasov,2020,02,Turkey,173
Brasov,2020,03,Turkey,50
Brasov,2020,04,Turkey,0
Brasov,2020,05,Turkey,1
Brasov,2020,06,Turkey,6
Brasov,2020,07,Turkey,33
Brasov,2020,08,Turkey,50
Brasov,2020,09,Turkey,53
Brasov,2020,10,Turkey,40
Brasov,2020,11,Turkey,24
Brasov,2020,12,Turkey,29
Brasov,2020,01,Greece,161
Brasov,2020,02,Greece,155
Brasov,2020,03,Greece,45
Brasov,2020,04,Greece,0
Brasov,2020,05,Greece,0
Brasov,2020,06,Greece,6
Brasov,2020,07,Greece,30
Brasov,2020,08,Greece,45
Brasov,2020,09,Greece,47
Brasov,2020,10,Greece,36
Brasov,2020,11,Greece,22
Brasov,2020,12,Greece,26
Brasov,2020,01,Netherlands,159
Brasov,2020,02,Netherlands,154
Brasov,2020,03,Netherlands,44
Brasov,2020,04,Netherlands,0
Brasov,2020,05,Netherlands,0
Brasov,2020,06,Netherlands,6
Brasov,2020,07,Netherlands,29
Brasov,2020,08,Netherlands,44
Brasov,2020,09,Netherlands,47
Brasov,2020,10,Netherlands,35
Brasov,2020,11,Netherlands,21
Brasov,2020,12,Netherlands,26
Brasov,2020,01,Austria,142
Brasov,2020,02,Austria,138
Brasov,2020,03,Austria,40
Brasov,2020,04,Austria,0
Brasov,2020,05,Austria,0
Brasov,2020,06,Austria,5
Brasov,2020,07,Austria,26
Brasov,2020,08,Austria,40
Brasov,2020,09,Austria,42
Brasov,2020,10,Austria,32
Brasov,2020,11,Austria,19
Brasov,2020,12,Austria,23
Brasov,2020,01,China,104
Brasov,2020,02,China,100
Brasov,2020,03,China,29
Brasov,2020,04,China,0
Brasov,2020,05,China,0
Brasov,2020,06,China,4
Brasov,2020,07,China,19
Brasov,2020,08,China,29
Brasov,2020,09,China,31
Brasov,2020,10,China,23
Brasov,2020,11,China,14
Brasov,2020,12,China,17
Brasov,2020,01,Serbia,103
Brasov,2020,02,Serbia,99
Brasov,2020,03,Serbia,29
Brasov,2020,04,Serbia,0
Brasov,2020,05,Serbia,0
Brasov,2020,06,Serbia,4
Brasov,2020,07,Serbia,19
Brasov,2020,08,Serbia,29
Brasov,2020,09,Serbia,30
Brasov,2020,10,Serbia,23
Brasov,2020,11,Serbia,14
Brasov,2020,12,Serbia,17
Brasov,2020,01,Belgium,94
Brasov,2020,02,Belgium,91
Brasov,2020,03,Belgium,26
Brasov,2020,04,Belgium,0
Brasov,2020,05,Belgium,0
Brasov,2020,06,Belgium,3
Brasov,2020,07,Belgium,17
Brasov,2020,08,Belgium,26
Brasov,2020,09,Belgium,28
Brasov,2020,10,Belgium,21
Brasov,2020,11,Belgium,13
Brasov,2020,12,Belgium,15
Brasov,2020,01,Switzerland,85
Brasov,2020,02,Switzerland,82
Brasov,2020,03,Switzerland,24
Brasov,2020,04,Switzerland,0
Brasov,2020,05,Switzerland,0
Brasov,2020,06,Switzerland,3
Brasov,2020,07,Switzerland,16
Brasov,2020,08,Switzerland,23
Brasov,2020,09,Switzerland,25
Brasov,2020,10,Switzerland,19
Brasov,2020,11,Switzerland,11
Brasov,2020,12,Switzerland,14
Brasov,2021,01,Other countries,298
Brasov,2021,02,Other countries,271
Brasov,2021,03,Other countries,271
Brasov,2021,04,Other countries,202
Brasov,2021,05,Other countries,290
Brasov,2021,06,Other countries,542
Brasov,2021,07,Other countries,1412
Brasov,2021,08,Other countries,1951
Brasov,2021,09,Other countries,1596
Brasov,2021,10,Other countries,1086
Brasov,2021,11,Other countries,512
Brasov,2021,12,Other countries,674
Brasov,2021,01,Germany,294
Brasov,2021,02,Germany,267
Brasov,2021,03,Germany,267
Brasov,2021,04,Germany,199
Brasov,2021,05,Germany,286
Brasov,2021,06,Germany,535
Brasov,2021,07,Germany,1393
Brasov,2021,08,Germany,1924
Brasov,2021,09,Germany,1574
Brasov,2021,10,Germany,1070
Brasov,2021,11,Germany,505
Brasov,2021,12,Germany,664
Brasov,2021,01,Italy,143
Brasov,2021,02,Italy,130
Brasov,2021,03,Italy,130
Brasov,2021,04,Italy,97
Brasov,2021,05,Italy,139
Brasov,2021,06,Italy,261
Brasov,2021,07,Italy,680
Brasov,2021,08,Italy,939
Brasov,2021,09,Italy,768
Brasov,2021,10,Italy,522
Brasov,2021,11,Italy,246
Brasov,2021,12,Italy,324
Brasov,2021,01,Israel,98
Brasov,2021,02,Israel,90
Brasov,2021,03,Israel,89
Brasov,2021,04,Israel,67
Brasov,2021,05,Israel,96
Brasov,2021,06,Israel,179
Brasov,2021,07,Israel,466
Brasov,2021,08,Israel,644
Brasov,2021,09,Israel,527
Brasov,2021,10,Israel,358
Brasov,2021,11,Israel,169
Brasov,2021,12,Israel,222
Brasov,2021,01,USA,94
Brasov,2021,02,USA,86
Brasov,2021,03,USA,86
Brasov,2021,04,USA,64
Brasov,2021,05,USA,92
Brasov,2021,06,USA,172
Brasov,2021,07,USA,447
Brasov,2021,08,USA,618
Brasov,2021,09,USA,505
Brasov,2021,10,USA,344
Brasov,2021,11,USA,162
Brasov,2021,12,USA,213
Brasov,2021,01,United Kingdom,94
Brasov,2021,02,United Kingdom,85
Brasov,2021,03,United Kingdom,85
Brasov,2021,04,United Kingdom,64
Brasov,2021,05,United Kingdom,91
Brasov,2021,06,United Kingdom,171
Brasov,2021,07,United Kingdom,444
Brasov,2021,08,United Kingdom,614
Brasov,2021,09,United Kingdom,502
Brasov,2021,10,United Kingdom,342
Brasov,2021,11,United Kingdom,161
Brasov,2021,12,United Kingdom,212
Brasov,2021,01,Spain,79
Brasov,2021,02,Spain,72
Brasov,2021,03,Spain,72
Brasov,2021,04,Spain,53
Brasov,2021,05,Spain,77
Brasov,2021,06,Spain,144
Brasov,2021,07,Spain,374
Brasov,2021,08,Spain,516
Brasov,2021,09,Spain,422
Brasov,2021,10,Spain,287
Brasov,2021,11,Spain,135
Brasov,2021,12,Spain,178
Brasov,2021,01,Poland,78
Brasov,2021,02,Poland,71
Brasov,2021,03,Poland,71
Brasov,2021,04,Poland,53
Brasov,2021,05,Poland,76
Brasov,2021,06,Poland,142
Brasov,2021,07,Poland,370
Brasov,2021,08,Poland,511
Brasov,2021,09,Poland,418
Brasov,2021,10,Poland,284
