rank,country,arrivals_2025,source
1,Germany,246502,economica.net (INS full-year 2025)
2,Italy,225015,economica.net (INS full-year 2025)
3,Israel,182588,economica.net (INS full-year 2025)
4,USA,151430,economica.net (INS full-year 2025)
5,United Kingdom,150574,economica.net (INS full-year 2025)
6,Spain,126566,economica.net (INS full-year 2025)
7,Poland,125240,economica.net (INS full-year 2025)
8,Hungary,122374,economica.net (INS full-year 2025)
9,France,107952,economica.net (INS full-year 2025)
10,Ukraine,101696,economica.net (INS full-year 2025)
11,Moldova,97590,economica.net (INS full-year 2025)
12,Bulgaria,93349,economica.net (INS full-year 2025)
13,Turkey,65502,economica.net (INS full-year 2025)
14,Greece,58878,economica.net (INS full-year 2025)
15,Netherlands,58286,economica.net (INS full-year 2025)
16,Austria,52094,economica.net (INS full-year 2025)
17,China,38010,economica.net (INS full-year 2025)
18,Serbia,37570,economica.net (INS full-year 2025)
19,Belgium,34406,economica.net (INS full-year 2025)
20,Switzerland,30939,economica.net (INS full-year 2025)
