country,2020,2021,2022,2023,2024,2025
Germany,38700,105700,173500,218300,240000,246502
Italy,31200,73300,122800,186700,213500,225015
Israel,27400,50300,150500,150500,151500,182588
USA,,,,,,151430
United Kingdom,19600,,,,,150574
Spain,,,,,,126566
Poland,,,,,,125240
Hungary,,,,,,122374
France,19400,55200,,,,107952
Ukraine,,,,,,101696
Moldova,,,,,,97590
Bulgaria,,,,,,93349
Turkey,,,,,,65502
Greece,,,,,,58878
Netherlands,,,,,,58286
Austria,,,,,,52094
China,,,,,,38010
Serbia,,,,,,37570
Belgium,,,,,,34406
Switzerland,,,,,,30939
